STATION,NAME,DATE,AWND,PRCP,TAVG
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/06/2017,10.29,0.3,67
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/06/2017,12.53,0,72
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/06/2017,12.08,0,73
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/07/2017,13.65,0.26,76
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/07/2017,5.37,0.03,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/07/2017,8.5,0,73
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/07/2017,5.82,0.01,73
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/07/2017,9.84,0,74
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/07/2017,7.83,0,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/07/2017,11.63,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/07/2017,7.38,0.53,80
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/07/2017,8.5,0.32,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/07/2017,10.51,0,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/07/2017,7.38,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/07/2017,8.05,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/07/2017,7.16,0,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/07/2017,5.82,0.13,76
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/07/2017,8.5,0.04,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/07/2017,10.29,0,73
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/07/2017,12.08,0,72
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/07/2017,11.41,0.02,76
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/07/2017,9.62,0,80
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/07/2017,10.51,0,85
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/07/2017,9.62,0,84
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/07/2017,13.42,0,80
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/07/2017,9.84,0,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/07/2017,8.05,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/07/2017,8.72,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/07/2017,13.42,0,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/07/2017,9.17,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/07/2017,8.72,0,80
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/07/2017,10.07,0,84
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/07/2017,11.41,0.97,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",31/07/2017,8.05,0,81
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/08/2017,12.53,0,82
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/08/2017,8.05,0,81
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/08/2017,13.2,0,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/08/2017,11.63,0.01,81
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/08/2017,10.51,0,82
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/08/2017,6.71,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/08/2017,8.05,0,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/08/2017,6.71,0,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/08/2017,8.72,0,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/08/2017,9.62,0,75
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/08/2017,13.42,1.13,76
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/08/2017,11.18,0,79
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/08/2017,7.61,0,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/08/2017,8.28,0,77
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/08/2017,10.29,0,78
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/08/2017,7.16,0,80
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/08/2017,9.17,0,80
